lat,lon,county
4.109792,35.640659,Turkana
4.109792,35.685575,Turkana
4.109792,35.73049,Turkana
4.109792,35.775406,Turkana
4.109792,35.820322,Turkana
4.109792,35.865238,Turkana
4.109792,35.910153,Turkana
4.109792,35.955069,Turkana
4.109792,36.224564,Marsabit
4.109792,36.26948,Marsabit
4.109792,36.314395,Marsabit
4.109792,36.359311,Marsabit
4.109792,36.404227,Marsabit
4.109792,36.449143,Marsabit
4.109792,36.494058,Marsabit
4.109792,36.538974,Marsabit
4.109792,36.58389,Marsabit
4.109792,36.628806,Marsabit
4.109792,36.673721,Marsabit
4.109792,36.718637,Marsabit
4.109792,36.763553,Marsabit
4.109792,36.808469,Marsabit
4.109792,36.853385,Marsabit
4.109792,36.8983,Marsabit
4.109792,36.943216,Marsabit
4.109792,36.988132,Marsabit
4.109792,37.033048,Marsabit
4.109792,37.077963,Marsabit
4.109792,37.122879,Marsabit
4.109792,37.167795,Marsabit
4.109792,37.212711,Marsabit
4.109792,37.257626,Marsabit
4.109792,37.302542,Marsabit
4.109792,37.347458,Marsabit
4.109792,37.392374,Marsabit
4.109792,37.437289,Unknown
4.109792,40.311898,Unknown
4.109792,40.356814,Unknown
4.109792,40.40173,Mandera
4.109792,40.446646,Mandera
4.109792,40.491561,Mandera
4.109792,40.536477,Mandera
4.109792,40.581393,Mandera
4.109792,40.626309,Mandera
4.109792,40.671224,Mandera
4.109792,40.71614,Mandera
4.109792,40.761056,Mandera
4.109792,40.805972,Mandera
4.109792,40.850888,Mandera
4.109792,40.895803,Mandera
4.109792,40.940719,Mandera
4.109792,40.985635,Mandera
4.109792,41.030551,Unknown
4.064877,34.068607,Unknown
4.064877,34.113523,Turkana
4.064877,34.158439,Turkana
4.064877,34.203354,Turkana
4.064877,34.24827,Turkana
4.064877,34.293186,Turkana
4.064877,34.338102,Turkana
4.064877,34.383017,Turkana
4.064877,34.427933,Turkana
4.064877,34.472849,Turkana
