month,lat,lon,max_temp_c
static,4.334371,36.718637,520.0000
static,4.334371,36.763553,555.0000
static,4.334371,36.808469,619.0000
static,4.334371,36.853385,653.0000
static,4.334371,36.898300,674.0000
static,4.334371,36.943216,736.0000
static,4.334371,36.988132,993.0000
static,4.334371,37.033048,1351.0000
static,4.334371,37.077963,1322.0000
static,4.334371,37.122879,1007.0000
static,4.289455,34.023691,805.0000
static,4.289455,34.068607,773.0000
static,4.289455,34.113523,750.0000
static,4.289455,34.158439,698.0000
static,4.289455,34.203354,672.0000
static,4.289455,34.248270,657.0000
static,4.289455,34.293186,656.0000
static,4.289455,34.338102,915.0000
static,4.289455,34.383017,1188.0000
static,4.289455,34.427933,698.0000
static,4.289455,34.472849,559.0000
static,4.289455,34.517765,549.0000
static,4.289455,34.562681,544.0000
static,4.289455,34.607596,536.0000
static,4.289455,34.652512,517.0000
static,4.289455,34.697428,508.0000
static,4.289455,34.742344,503.0000
static,4.289455,34.787259,498.0000
static,4.289455,34.832175,495.0000
static,4.289455,34.877091,495.0000
static,4.289455,34.922007,494.0000
static,4.289455,34.966922,495.0000
static,4.289455,35.011838,493.0000
static,4.289455,35.056754,494.0000
static,4.289455,35.101670,497.0000
static,4.289455,35.146585,529.0000
static,4.289455,35.191501,515.0000
static,4.289455,35.236417,525.0000
static,4.289455,35.281333,536.0000
static,4.289455,35.326249,573.0000
static,4.289455,35.371164,592.0000
static,4.289455,35.416080,611.0000
static,4.289455,35.460996,636.0000
static,4.289455,35.505912,690.0000
static,4.289455,35.550827,743.0000
static,4.289455,35.595743,728.0000
static,4.289455,35.640659,615.0000
static,4.289455,35.685575,650.0000
static,4.289455,35.730490,767.0000
static,4.289455,35.775406,929.0000
static,4.289455,35.820322,631.0000
static,4.289455,35.865238,408.0000
static,4.289455,35.910153,372.0000
static,4.289455,35.955069,361.0000
static,4.289455,35.999985,361.0000
static,4.289455,36.044901,361.0000
static,4.289455,36.089817,361.0000
static,4.289455,36.134732,361.0000
static,4.289455,36.179648,364.0000
static,4.289455,36.224564,388.0000
static,4.289455,36.269480,418.0000
static,4.289455,36.314395,424.0000
static,4.289455,36.359311,483.0000
static,4.289455,36.404227,572.0000
static,4.289455,36.449143,613.0000
static,4.289455,36.494058,655.0000
static,4.289455,36.538974,830.0000
static,4.289455,36.583890,760.0000
static,4.289455,36.628806,637.0000
static,4.289455,36.673721,581.0000
static,4.289455,36.718637,526.0000
static,4.289455,36.763553,600.0000
static,4.289455,36.808469,668.0000
static,4.289455,36.853385,683.0000
static,4.289455,36.898300,706.0000
static,4.289455,36.943216,742.0000
static,4.289455,36.988132,918.0000
static,4.289455,37.033048,983.0000
static,4.289455,37.077963,1083.0000
static,4.289455,37.122879,1097.0000
static,4.289455,37.167795,868.0000
static,4.289455,40.761056,498.0000
static,4.289455,40.805972,622.0000
static,4.244540,33.978776,863.0000
static,4.244540,34.023691,831.0000
static,4.244540,34.068607,786.0000
static,4.244540,34.113523,753.0000
static,4.244540,34.158439,720.0000
